Product_Name,Sales,Date,Month
"Seang Standing Desk with Drawer, 55"" x 24"" Height Adjustable Stand Up Desk, 3 Memory Height Settings with Cable Grommets & Storage Hooks, Ideal for Home & Office, Rustic Brown",113.99,2020-11-20 13:40:24.442141809,11
"TOPSKY Dual Motor Electric Standing Desk Frame, Height Adjustable Sit Stand Base for Home Office, Fits Table Tops up to 70.8 x 31.5 Inch, 225 lb Capacity (Black, Without Stand)",161.47,2020-06-19 01:20:43.709770060,6
"VIVO Electric 2-Tier Corner L-Shaped 63 x 55 inch Standing Desk, Height Adjustable, Memory Controller, Black Top Black Frame, Dark Gray Drawers, DESK-E3CVB",339.99,2020-06-16 23:21:30.563217733,6
"L Shaped Desk Gaming Computer 50 Inch Corner Desks Work Table for Writing Study Student with Wood Tabletop Metal Frame CPU Stand Side Bag for Home Office Small Place, White",65.99,2020-05-29 17:18:17.127706285,5
"PRAISUN 68"" Gaming Desk with LED Lights & Outlets, Computer Desk with 3 Fabric Drawers, PC Desk with PC Case Stand & Movable Storage Shelves, Monitor Stand, Reversible, Carbon Fiber Black",139.99,2020-08-29 11:15:06.672963407,8
"Alera Workspace by Alera Workspace by Alera Farmhouse Writing Desk, 47.24"" x 23.62"" x 29.53"", Gray",88.75,2020-12-30 04:12:16.610259808,12
"Mount-It! Double Monitor Electric Standing Desk Converter - 2 Screens Stand Up Desk Riser - Height Adjustable Desktop & 2 Mounts for Screens up to 32"", Sit-Stand Convertor for Home, Office, School",229.99,2020-12-03 04:35:09.978532316,12
"Furinno Simplistic Easy Assembly Computer Desk, With Keyboard Tray, Espresso/Black",32.9,2020-07-13 09:39:25.614382426,7
"Bush Home Cabot L Shaped Desk with Hutch, Corner Desk with Storage for Home Office in Heather Gray, 60W L Shaped Computer Desk",537.99,2020-05-19 05:52:46.157621070,5
"Workspace by Alera L-Shaped Farmhouse Desk, 58.27"" x 58.27"" x 29.53"", White",111.01,2020-12-22 08:46:31.591197239,12
"Office Depot Elle Décor Dani 47"" W Writing Desk, Old World Rustic Pine/Dusk Gray",94.94,2020-07-14 09:27:10.003704548,7
"HUANUO FlowLift™ Dual Monitor Stand, Fully Adjustable Gaming Monitor Desk Mount for 13–32″ Computer Screens, Full Motion VESA 75x75/100x100 with C-Clamp & Grommet Base, Each Arm Holds 4.4 to 19.8 lbs",64.99,2020-04-22 01:00:06.750675881,4
Acme Brancaster 1-Drawer Industrial Writing Desk in Aluminum,1873.81,2020-04-29 09:21:55.549923122,4
"Convenience Concepts Designs2Go No Tools Desk Home Office Desk with Shelves, Corner Shelf Vanity Desk Computer Desk Nail Table for Nail Tech - 47.25"" L x 15.75"" W x 30"" H, White Faux Marble",75.64,2020-07-15 09:05:44.646285226,7
"Sauder® Summit Station 66""W Executive Computer Desk, Raven Oak",449.99,2020-02-08 14:21:07.213895338,2
"Children's Factory Edutray Desk Attachment for Cube Chair – Toddler Study Surface for Homeschool, Classroom, Space-Saving, Durable, Easy-Clean Plastic",97.83,2020-10-23 11:47:06.295588233,10
Bush Business Furniture Echo 60W Credenza Desk in Pure White,293.8,2020-05-15 15:36:23.799459050,5
Northfield Entryway Hall Console Table/Desk,68.39,2020-03-30 20:16:39.131753128,3
"Bestier 59” Computer Desk with 4 Drawers, Office Desk with Storage, Industrial Executive Desk with File Drawer, Keyboard Tray & 2 Pedestals on Both Sides for Home Office & Studio, Grey",249.99,2020-10-09 15:02:43.358224029,10
"Realspace® Magellan 59""W L-Shape Corner Computer Desk, Espresso",259.99,2020-07-06 05:49:29.632279729,7
"Monarch Specialties Computer Writing Desk for Home & Office Laptop Table with Drawers Open Shelf and File Cabinet-Left or Right Set Up, 60"" L, Dark Taupe",273.59,2020-12-29 15:58:48.137953853,12
"Realspace® Vista 48"" W Glass Computer Desk, Silver",259.89,2020-12-12 04:19:58.390308369,12
"Bush Business Furniture 72-inch Height Adjustable L Shaped Standing Desk, Electric Sit-Stand Corner Computer Table, Ergonomic Office, Move 60 Series, Storm Gray with Black Base",887.01,2020-12-08 23:25:08.244405889,12
"Sauder North Avenue L-Shaped Desk, Smoked Oak Finish",49.07,2020-04-19 09:27:32.564711612,4
NEO Chair Office Desk Chair Computer High Back Mesh Gaming Seat with Ergonomic Adjustable Comfy Flip-up Armrests Lumbar Support Height for Home (Black),54.99,2020-07-20 19:48:40.667547904,7
"Ergotron – WorkFit-TL Standing Desk Converter, Dual Monitor Sit Stand Desk Riser for Tabletops – 37.5 Inch Width, Black",370.99,2020-04-20 22:54:02.604098611,4
"Convenience Concepts Desigsn2Go Office Workstation Desk 36"" - Modern, Contemporary Writing Accent with Storage Shelves for Dorm Room & Home Study, Charcoal Gray",97.22,2020-02-04 10:53:14.280766749,2
"Monarch Specialties I 7720 Computer Desk, Home Office, Corner, Storage Shelves, 48"" L, L Shape, Work, Laptop, Laminate, Grey, Contemporary, Modern",217.61,2020-03-29 08:05:55.596911865,3
"Global Industrial 60"" W x 30"" D x 30-1/2""H Steel Teacher's Desk, Gray Top with Black Frame, Double Pedestal Desk with Center Drawer, 4 Locking Box/Box Drawers",1042.83,2020-11-23 20:59:13.169009065,11
"Amazon Basics Breathable Mesh Mid-Back Office Desk Chair with Armrests, Lumbar Support, 360-Degree Swivel, Adjustable-Height, Black",60.21,2020-10-21 11:31:15.737245142,10
"Workspace by Alera Farmhouse Writing Desk, 47.24"" x 23.62"" x 29.53"", White",83.37,2020-02-03 20:28:39.235468938,2
"Realspace® Chase 47"" W Writing Desk, Coastal Gray",99.92,2020-06-06 14:26:11.025142124,6
"Convenience Concepts SoHo 1 Drawer Glass 36 inch Desk, Gray Faux Marble/Glass",179.61,2020-07-02 10:43:05.906673449,7
"Monarch Specialties Computer Desk with Drawers - Contemporary Style - Home & Office Computer Desk with Metal Legs - 60""L (Taupe Reclaimed Wood Look)",305.53,2020-10-04 10:36:25.764628150,10
"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Chair with Armrest, Height Adjustable, Easy to Assemble, 26""D x 23.75""W x 42""H, Cream",66.88,2020-05-10 06:57:31.960088984,5
"Convenience Concepts Designs2Go Trestle Desk 47"" - Modern Desk or Vanity with Shelves, for Office, Dorm, Living Room, Cappuccino",168.56,2020-06-12 10:06:01.305454179,6
"Office Star Resin Multipurpose Rectangle Table, 4-Feet Long, Height Adjustable, Center Folding Table, Light Gray",69.61,2020-11-11 04:14:19.070720449,11
"ELABEST X100 Ergonomic Mesh Office Chair with Footrest, Big and Tall Hone Desk Chair with 5D Flip-Up Arms, Adjustable 3D Lumbar Support,Gaming & Executive Computer Chairs",295.98,2020-07-19 12:45:16.682208792,7
"Convenience Concepts Designs2Go No Tools Student Desk 47.25"" - Contemporary Office, Dorm Room Desk and Vanity with Storage Shelves, Pink",135.55,2020-06-14 06:41:46.186749877,6
"BONTEC Mobile Standing Desk Adjustable Height, Rolling Laptop Cart with Storage Shelf, Hooks, Portable Workstation with Pneumatic Lift, Ergonomic Compact Home Office Desk, White 23.6"" x 20.5""",99.99,2020-07-24 07:42:38.939090811,7
"Koonie USB Desk Fan, Strong Wind Ultra Quiet Small Personal Fan with 180° Tilt Folding and 3 Speeds Adjustable, USB-C Corded Powered Mini USB Fan for Office Desktop Bedroom, NO BATTERY",7.28,2020-12-26 01:51:02.779133908,12
Modway Hudson Burl Wood Desk with Drawers in Natural - Modern Writing Desk - Narrow Home Office Desk - Vanity Table Without Mirror,190.89,2020-05-02 11:42:30.225908902,5
"Convenience Concepts Designs2Go No Tools Student Desk with Charging Station and Shelves, White Marble",90.99,2020-07-25 19:25:03.230903864,7
"Flash Furniture Whitney Mid-Back Swivel LeatherSoft Desk Chair with Wheels, Padded Seat and Armrests, Adjustable Height Padded Office Chair, Black",117.51,2020-12-17 00:38:02.240351554,12
"HON MOD L Shaped Desk Return Shell, Executive Corner Computer Desk for Home Office, Gaming, Durable Workstation, Walnut",179.52,2020-03-06 01:24:17.341796389,3
Acme Tennos Rectangular Metal Frame Writing Desk in White and Chrome,129.38,2020-01-22 00:37:24.621479870,1
